entity1,entity2,count
Osmanlı Devleti,Çanakkale Boğazı,4
Anadolu,Hacı Bektaş Veli,4
Birleşmiş Milletler,Türkiye,4
Rusya,Ukrayna,4
Rumeli,İstanbul,4
Erzurum,Sivas,4
Fransa,Mısır,4
Anadolu,Celâli İsyanları,4
Ermenistan,Gürcistan,4
Habeşistan,İtalya,4
Almanya,Çekoslovakya,4
Misak - ı Millî,Türkiye,4
Fransa,Suriye,4
Cenova,Venedik,4
Avrupa,SSCB,4
Anadolu,Doğu Roma İmparatorluğu,4
Abdülhamit,Osmanlı Devleti,4
Topkapı Sarayı Müzesi,İstanbul,4
Akdeniz,SSCB,4
Rusya,Sırbistan,4
Osmanlı Devleti,Tanzimat Fermanı,4
Akdeniz,Rusya,4
Osmanlı Devleti,Türkiye,4
Kudüs,Selahaddin Eyyubi,4
Almanya,Nazi Partisi,4
1961,1982 Anayasa,4
Fransa,Yunanistan,4
Almanya,Belçika,4
Osmanlı Devleti,İtalya,4
Anadolu,Erzurum,4
Azerbaycan,Gürcistan,4
Anadolu,Doğu Akdeniz,4
Batı Blok,Türkiye,4
Avusturya,Çekoslovakya,4
Avrupa,Fransız İhtilali,4
Doğu Roma,İznik,4
Fransız İhtilali ',Osmanlı Devleti,4
Avrupa,Türkiye,4
Macar,Macaristan,4
Rusya,Üçlü İtilaf,4
Abdülhamit,Osmanlı,4
Anadolu,Moğol istila,4
Balta Limanı Antlaşması,Osmanlı Devleti,4
Batı,Türk,4
Osman Gâzi,İznik,4
Doğu Akdeniz,Kıbrıs,4
Devletleri,İtilaf,4
Balkanlar,Osmanlı,4
S,âsânî,4
Asya,Osmanlı Devleti,4
Fahreddin Paşa,Medine,4
Batı Bloku,Türkiye,4
Bitlis,Erzurum,4
Horasan,Maveraünnehir,4
Osmanlı Devleti,Portekiz,4
Dursun Fakih,Şeyh Edebali,4
Dursun Fakih,Osman Gazi,4
Kuzey Afrika,Tunus,4
SSCB,Çin,4
Ankara,Millî Mücadele,4
Yunus Emre,İbnülarabi,4
Lozan Antlaşması,Türkiye,4
Osmanlı,İtalya,4
Amerika,Rusya,4
Kırım,Osmanlı Devleti,4
Akdeniz,Anadolu,4
Halep,Şam,4
Akdeniz,Ege,4
Roma,İtalya,4
Montreux Boğazlar Sözleşmesi,Türkiye,4
Mevlana Celaleddin Rumi,Yunus Emre,4
Girit,Yunanistan,4
Belçika,İtalya,4
Avrupa,Orta Çağ,4
Prusya,İngiltere,4
Amerika,İspanyol,4
Polonya,İtalya,4
Anadolu,Millî Mücadele,4
ABD,Mısır,4
Balkan,Balkan Savaşı ',4
Güneydoğu Asya,Orta Amerika,4
Güneydoğu Asya,Mezopotamya,4
Mezopotamya,Orta Amerika,4
Hindistan,Portekiz,4
Papalık,Venedik,4
Dünya Savaşı,Japonya,4
Basra Körfezi,Kızıldeniz,4
Adana,İngiltere,4
Osmanlı Devleti,İngiliz,4
Irak,Kerkük,4
Adana,Türkiye,4
Macaristan,Yugoslavya,4
Irak,İngiltere,4
Osmanlı Devleti,İsveç,4
SSCB,İtalya,4
Bağdat,Safevi,4
âsânî,İmparatorluğu,4
Balkanlar,Türkiye,4
Hindistan,Çin,4
İngiliz,İngiltere,4
Macaristan,İngiltere,4
Bağdat,Revan,4
Karadeniz,Osmanlı,4
Osman Gazi,Şeyh Edebali,4
Asya,Orta Çağ,4
Eflak,Erdel,4
93 Harbi,Osmanlı Devleti,4
Malta,Venedik,4
Batı Trakya,İstanbul,4
Londra,Osmanlı Devleti,4
Marshall Planı,Türkiye,4
Bitlis,Van,4
Avrupa,Doğu,4
Fransa,Napolyon,4
Hollandalı,Portekiz,4
Hollandalı,İngiliz,4
Suriye,İsrail,4
Hacı Bektaş Veli,İbnülarabi,4
Mısır,Süveyş Kanalı,4
Bursa,İzmit,4
Adnan Menderes,Fuat Köprülü,4
Bursa,Osmanlı Devleti,4
Yugoslavya,Çekoslovakya,4
Dünya Savaşı ',Türkiye,4
Kavalalı Mehmet Ali Paşa,Osmanlı,4
Arnavutluk,Bulgaristan,4
Anadolu,Osmanlı Beyliği,4
Hoca Ahmed Yesevi,Mevlana Celaleddin Rumi,4
Topkapı Sarayı Müzesi Kütüphanesi,İstanbul,4
Akdeniz,Venedik,4
Orhan Gazi,Osmanlı Beyliği,4
Osmanlı,Selçuklu,4
Ceneviz,Venedik,4
Batı,Osmanlı Devleti,4
